level,x,z
0,1896,4828
0,1896,4829
0,1897,4821
0,1897,4822
0,1897,4823
0,1897,4824
0,1897,4825
0,1897,4826
0,1897,4827
0,1897,4828
0,1897,4829
0,1898,4822
0,1898,4824
0,1898,4825
0,1898,4826
0,1898,4828
0,1899,4822
0,1899,4825
0,1899,4828
0,1900,4822
0,1900,4828
0,1901,4822
0,1901,4828
0,1902,4822
0,1902,4828
0,1903,4822
0,1903,4823
0,1903,4824
0,1903,4825
0,1903,4826
0,1903,4827
0,1903,4828
1,1880,4819
1,1880,4820
1,1880,4821
1,1880,4822
1,1880,4823
1,1880,4824
1,1880,4825
1,1880,4826
1,1880,4827
1,1880,4828
1,1880,4829
1,1880,4830
1,1880,4831
1,1881,4819
1,1881,4820
1,1881,4821
1,1881,4822
1,1881,4823
1,1881,4824
1,1881,4826
1,1881,4827
1,1881,4828
1,1881,4829
1,1881,4830
1,1881,4831
1,1882,4823
1,1882,4825
1,1883,4825
1,1884,4826
1,1888,4824
1,1888,4825
1,1888,4826
1,1889,4824
1,1889,4825
1,1889,4826
1,1890,4824
1,1890,4825
1,1890,4826
1,1893,4824
1,1894,4827
1,1895,4823
1,1895,4826
1,1895,4827
1,1896,4823
1,1897,4823
1,1897,4825
1,1897,4827
1,1898,4824
1,1898,4826
1,1899,4825
1,1900,4825
1,1901,4825
1,1902,4825
1,1903,4825
1,1904,4825
1,1905,4825
1,1906,4825
2,1883,4821
2,1883,4822
2,1883,4823
2,1883,4824
2,1883,4825
2,1897,4822
2,1897,4823
2,1897,4824
2,1897,4825
2,1897,4826
2,1897,4827
2,1897,4828
2,1899,4825
2,1900,4825
2,1901,4825
2,1902,4825
2,1903,4825
2,1904,4825
2,1905,4825
2,1906,4825
0,1920,4800
0,1920,4801
0,1920,4802
0,1920,4803
0,1920,4804
0,1920,4805
0,1920,4806
0,1920,4807
0,1920,4808
0,1920,4809
0,1920,4810
0,1920,4811
0,1920,4812
0,1920,4813
0,1920,4814
0,1920,4815
0,1920,4816
0,1920,4817
0,1920,4818
0,1920,4819
0,1920,4820
0,1920,4821
0,1920,4822
0,1920,4823
0,1920,4824
0,1920,4825
0,1920,4826
0,1920,4827
0,1920,4828
0,1920,4829
0,1920,4830
0,1920,4831
0,1920,4832
0,1920,4833
0,1920,4834
0,1920,4835
0,1920,4836
0,1920,4837
0,1920,4838
0,1920,4839
0,1920,4840
0,1920,4841
0,1920,4842
0,1920,4843
0,1920,4844
0,1920,4845
0,1920,4846
0,1920,4847
0,1920,4848
0,1920,4849
0,1920,4850
0,1920,4851
0,1920,4852
0,1920,4853
0,1920,4854
0,1920,4855
0,1920,4856
0,1920,4857
0,1920,4858
0,1920,4859
0,1920,4860
0,1920,4861
0,1920,4862
0,1920,4863
0,1921,4800
0,1921,4801
0,1921,4802
0,1921,4803
0,1921,4804
0,1921,4805
0,1921,4806
0,1921,4807
0,1921,4808
0,1921,4809
0,1921,4810
0,1921,4811
0,1921,4812
0,1921,4813
0,1921,4814
0,1921,4815
0,1921,4816
0,1921,4817
0,1921,4818
0,1921,4819
0,1921,4820
0,1921,4821
0,1921,4822
0,1921,4823
0,1921,4824
0,1921,4825
0,1921,4826
0,1921,4827
0,1921,4828
0,1921,4829
0,1921,4830
0,1921,4831
0,1921,4832
0,1921,4833
0,1921,4834
0,1921,4835
0,1921,4836
0,1921,4837
0,1921,4838
0,1921,4839
0,1921,4840
0,1921,4841
0,1921,4842
0,1921,4843
0,1921,4844
0,1921,4845
0,1921,4846
0,1921,4847
0,1921,4848
0,1921,4849
0,1921,4850
0,1921,4851
0,1921,4852
0,1921,4853
0,1921,4854
0,1921,4855
0,1921,4856
0,1921,4857
0,1921,4858
0,1921,4859
0,1921,4860
0,1921,4861
0,1921,4862
0,1921,4863
0,1922,4800
0,1922,4801
0,1922,4802
0,1922,4803
0,1922,4804
0,1922,4805
0,1922,4806
0,1922,4807
0,1922,4808
0,1922,4809
0,1922,4810
0,1922,4811
0,1922,4812
0,1922,4813
0,1922,4814
0,1922,4815
0,1922,4816
0,1922,4817
0,1922,4818
0,1922,4819
0,1922,4820
0,1922,4821
0,1922,4822
0,1922,4823
0,1922,4824
0,1922,4825
0,1922,4826
0,1922,4827
0,1922,4828
0,1922,4829
0,1922,4830
0,1922,4831
0,1922,4832
0,1922,4833
0,1922,4834
0,1922,4835
0,1922,4836
0,1922,4837
0,1922,4838
0,1922,4839
0,1922,4840
0,1922,4841
0,1922,4842
0,1922,4843
0,1922,4844
0,1922,4845
0,1922,4846
0,1922,4847
0,1922,4848
0,1922,4849
0,1922,4850
0,1922,4851
0,1922,4852
0,1922,4853
0,1922,4854
0,1922,4855
0,1922,4856
0,1922,4857
0,1922,4858
0,1922,4859
0,1922,4860
0,1922,4861
0,1922,4862
0,1922,4863
0,1923,4800
0,1923,4801
0,1923,4802
0,1923,4803
0,1923,4804
0,1923,4805
0,1923,4806
0,1923,4807
0,1923,4808
0,1923,4809
0,1923,4810
0,1923,4811
0,1923,4812
0,1923,4813
0,1923,4814
0,1923,4815
0,1923,4816
0,1923,4817
0,1923,4818
0,1923,4819
0,1923,4820
0,1923,4821
0,1923,4822
0,1923,4823
0,1923,4824
0,1923,4825
0,1923,4826
0,1923,4827
0,1923,4828
0,1923,4829
0,1923,4830
0,1923,4831
0,1923,4832
0,1923,4833
0,1923,4834
0,1923,4835
0,1923,4836
0,1923,4837
0,1923,4838
0,1923,4839
0,1923,4840
0,1923,4841
0,1923,4842
0,1923,4843
0,1923,4844
0,1923,4845
0,1923,4846
0,1923,4847
0,1923,4848
0,1923,4849
0,1923,4850
0,1923,4851
0,1923,4852
0,1923,4853
0,1923,4854
0,1923,4855
0,1923,4856
0,1923,4857
0,1923,4858
0,1923,4859
0,1923,4860
0,1923,4861
0,1923,4862
0,1923,4863
0,1924,4800
0,1924,4801
0,1924,4802
0,1924,4803
0,1924,4804
0,1924,4805
0,1924,4806
0,1924,4807
0,1924,4808
0,1924,4809
0,1924,4810
0,1924,4811
0,1924,4812
0,1924,4813
0,1924,4814
0,1924,4815
0,1924,4816
0,1924,4817
0,1924,4818
0,1924,4819
0,1924,4820
0,1924,4821
0,1924,4822
0,1924,4823
0,1924,4824
0,1924,4825
0,1924,4826
0,1924,4827
0,1924,4828
0,1924,4829
0,1924,4830
0,1924,4831
0,1924,4832
0,1924,4833
0,1924,4834
0,1924,4835
0,1924,4836
0,1924,4837
0,1924,4838
0,1924,4839
0,1924,4840
0,1924,4841
0,1924,4842
0,1924,4843
0,1924,4844
0,1924,4845
0,1924,4846
0,1924,4847
0,1924,4848
0,1924,4849
0,1924,4850
0,1924,4851
0,1924,4852
0,1924,4853
0,1924,4854
0,1924,4855
0,1924,4856
0,1924,4857
0,1924,4858
0,1924,4859
0,1924,4860
0,1924,4861
0,1924,4862
0,1924,4863
0,1925,4800
0,1925,4801
0,1925,4802
0,1925,4803
0,1925,4804
0,1925,4805
0,1925,4806
0,1925,4807
0,1925,4808
0,1925,4809
0,1925,4810
0,1925,4811
0,1925,4812
0,1925,4813
0,1925,4814
0,1925,4815
0,1925,4816
0,1925,4817
0,1925,4818
0,1925,4819
0,1925,4820
0,1925,4821
0,1925,4822
0,1925,4823
0,1925,4824
0,1925,4825
0,1925,4826
0,1925,4827
0,1925,4828
0,1925,4829
0,1925,4830
0,1925,4831
0,1925,4832
0,1925,4833
0,1925,4834
0,1925,4835
0,1925,4836
0,1925,4837
0,1925,4838
0,1925,4839
0,1925,4840
0,1925,4841
0,1925,4842
0,1925,4843
0,1925,4844
0,1925,4845
0,1925,4846
0,1925,4847
0,1925,4848
0,1925,4849
0,1925,4850
0,1925,4851
0,1925,4852
0,1925,4853
0,1925,4854
0,1925,4855
0,1925,4856
0,1925,4857
0,1925,4858
0,1925,4859
0,1925,4860
0,1925,4861
0,1925,4862
0,1925,4863
0,1926,4800
0,1926,4801
0,1926,4802
0,1926,4803
0,1926,4804
0,1926,4805
0,1926,4806
0,1926,4807
0,1926,4808
0,1926,4809
0,1926,4810
0,1926,4811
0,1926,4812
0,1926,4813
0,1926,4814
0,1926,4815
0,1926,4816
0,1926,4817
0,1926,4818
0,1926,4819
0,1926,4820
0,1926,4821
0,1926,4822
0,1926,4823
0,1926,4824
0,1926,4825
0,1926,4826
0,1926,4827
0,1926,4828
0,1926,4829
0,1926,4830
0,1926,4831
0,1926,4832
0,1926,4833
0,1926,4834
0,1926,4835
0,1926,4836
0,1926,4837
0,1926,4838
0,1926,4839
0,1926,4840
0,1926,4841
0,1926,4842
0,1926,4843
0,1926,4844
0,1926,4845
0,1926,4846
0,1926,4847
0,1926,4848
0,1926,4849
0,1926,4850
0,1926,4851
0,1926,4852
0,1926,4853
0,1926,4854
0,1926,4855
0,1926,4856
0,1926,4857
0,1926,4858
0,1926,4859
0,1926,4860
0,1926,4861
0,1926,4862
0,1926,4863
0,1927,4800
0,1927,4801
0,1927,4802
0,1927,4803
0,1927,4804
0,1927,4805
0,1927,4806
0,1927,4807
0,1927,4808
0,1927,4809
0,1927,4810
0,1927,4811
0,1927,4812
0,1927,4813
0,1927,4814
0,1927,4815
0,1927,4816
0,1927,4817
0,1927,4818
0,1927,4819
0,1927,4820
0,1927,4821
0,1927,4822
0,1927,4823
0,1927,4824
0,1927,4825
0,1927,4826
0,1927,4827
0,1927,4828
0,1927,4829
0,1927,4830
0,1927,4831
0,1927,4832
0,1927,4833
0,1927,4834
0,1927,4835
0,1927,4836
0,1927,4837
0,1927,4838
0,1927,4839
0,1927,4840
0,1927,4841
0,1927,4842
0,1927,4843
0,1927,4844
0,1927,4845
0,1927,4846
0,1927,4847
0,1927,4848
0,1927,4849
0,1927,4850
0,1927,4851
0,1927,4852
0,1927,4853
0,1927,4854
0,1927,4855
0,1927,4856
0,1927,4857
0,1927,4858
0,1927,4859
0,1927,4860
0,1927,4861
0,1927,4862
0,1927,4863
0,1928,4800
0,1928,4801
0,1928,4802
0,1928,4803
0,1928,4804
0,1928,4805
0,1928,4806
0,1928,4807
0,1928,4808
0,1928,4809
0,1928,4810
0,1928,4811
0,1928,4812
0,1928,4813
0,1928,4814
0,1928,4815
0,1928,4816
0,1928,4817
0,1928,4818
0,1928,4819
0,1928,4820
0,1928,4821
0,1928,4822
0,1928,4823
0,1928,4824
0,1928,4825
0,1928,4826
0,1928,4827
0,1928,4828
0,1928,4829
0,1928,4830
0,1928,4831
0,1928,4832
0,1928,4833
0,1928,4834
0,1928,4835
0,1928,4836
0,1928,4837
0,1928,4838
0,1928,4839
0,1928,4840
0,1928,4841
0,1928,4842
0,1928,4843
0,1928,4844
0,1928,4845
0,1928,4846
0,1928,4847
0,1928,4848
0,1928,4849
0,1928,4850
0,1928,4851
0,1928,4852
0,1928,4853
0,1928,4854
0,1928,4855
0,1928,4856
0,1928,4857
0,1928,4858
0,1928,4859
0,1928,4860
0,1928,4861
0,1928,4862
0,1928,4863
0,1929,4800
0,1929,4801
0,1929,4802
0,1929,4803
0,1929,4804
0,1929,4805
0,1929,4806
0,1929,4807
0,1929,4808
0,1929,4809
0,1929,4810
0,1929,4811
0,1929,4812
0,1929,4813
0,1929,4814
0,1929,4815
0,1929,4816
0,1929,4817
0,1929,4818
0,1929,4819
0,1929,4820
0,1929,4821
0,1929,4822
0,1929,4823
0,1929,4824
0,1929,4825
0,1929,4826
0,1929,4827
0,1929,4828
0,1929,4829
0,1929,4830
0,1929,4831
0,1929,4832
0,1929,4833
0,1929,4834
0,1929,4835
0,1929,4836
0,1929,4837
0,1929,4838
0,1929,4839
0,1929,4840
0,1929,4841
0,1929,4842
0,1929,4843
0,1929,4844
0,1929,4845
0,1929,4846
0,1929,4847
0,1929,4848
0,1929,4849
0,1929,4850
0,1929,4851
0,1929,4852
0,1929,4853
0,1929,4854
0,1929,4855
0,1929,4856
0,1929,4857
0,1929,4858
0,1929,4859
0,1929,4860
0,1929,4861
0,1929,4862
0,1929,4863
0,1930,4800
0,1930,4801
0,1930,4802
0,1930,4803
0,1930,4804
0,1930,4805
0,1930,4806
0,1930,4807
0,1930,4808
0,1930,4809
0,1930,4810
0,1930,4811
0,1930,4812
0,1930,4813
0,1930,4814
0,1930,4815
0,1930,4816
0,1930,4817
0,1930,4818
0,1930,4819
0,1930,4820
0,1930,4821
0,1930,4822
0,1930,4823
0,1930,4824
0,1930,4825
0,1930,4826
0,1930,4827
0,1930,4828
0,1930,4829
0,1930,4830
0,1930,4831
0,1930,4832
0,1930,4833
0,1930,4834
0,1930,4835
0,1930,4836
0,1930,4837
0,1930,4838
0,1930,4839
0,1930,4840
0,1930,4841
0,1930,4842
0,1930,4843
0,1930,4844
0,1930,4845
0,1930,4846
0,1930,4847
0,1930,4848
0,1930,4849
0,1930,4850
0,1930,4851
0,1930,4852
0,1930,4853
0,1930,4854
0,1930,4855
0,1930,4856
0,1930,4857
0,1930,4858
0,1930,4859
0,1930,4860
0,1930,4861
0,1930,4862
0,1930,4863
0,1931,4800
0,1931,4801
0,1931,4802
0,1931,4803
0,1931,4804
0,1931,4805
0,1931,4806
0,1931,4807
0,1931,4808
0,1931,4809
0,1931,4810
0,1931,4811
0,1931,4812
0,1931,4813
0,1931,4814
0,1931,4815
0,1931,4816
0,1931,4817
0,1931,4818
0,1931,4819
0,1931,4820
0,1931,4821
0,1931,4822
0,1931,4823
0,1931,4824
0,1931,4825
0,1931,4826
0,1931,4827
0,1931,4828
0,1931,4829
0,1931,4830
0,1931,4831
0,1931,4832
0,1931,4833
0,1931,4834
0,1931,4835
0,1931,4836
0,1931,4837
0,1931,4838
0,1931,4839
0,1931,4840
0,1931,4841
0,1931,4842
0,1931,4843
0,1931,4844
0,1931,4845
0,1931,4846
0,1931,4847
0,1931,4848
0,1931,4849
0,1931,4850
0,1931,4851
0,1931,4852
0,1931,4853
0,1931,4854
0,1931,4855
0,1931,4856
0,1931,4857
0,1931,4858
0,1931,4859
0,1931,4860
0,1931,4861
0,1931,4862
0,1931,4863
0,1932,4800
0,1932,4801
0,1932,4802
0,1932,4803
0,1932,4804
0,1932,4805
0,1932,4806
0,1932,4807
0,1932,4808
0,1932,4809
0,1932,4810
0,1932,4811
0,1932,4812
0,1932,4813
0,1932,4814
0,1932,4815
0,1932,4816
0,1932,4817
0,1932,4818
0,1932,4819
0,1932,4820
0,1932,4821
0,1932,4822
0,1932,4823
0,1932,4824
0,1932,4825
0,1932,4826
0,1932,4827
0,1932,4828
0,1932,4829
0,1932,4830
0,1932,4831
0,1932,4832
0,1932,4833
0,1932,4834
0,1932,4835
0,1932,4836
0,1932,4837
0,1932,4838
0,1932,4839
0,1932,4840
0,1932,4841
0,1932,4842
0,1932,4843
0,1932,4844
0,1932,4845
0,1932,4846
0,1932,4847
0,1932,4848
0,1932,4849
0,1932,4850
0,1932,4851
0,1932,4852
0,1932,4853
0,1932,4854
0,1932,4855
0,1932,4856
0,1932,4857
0,1932,4858
0,1932,4859
0,1932,4860
0,1932,4861
0,1932,4862
0,1932,4863
0,1933,4800
0,1933,4801
0,1933,4802
0,1933,4803
0,1933,4804
0,1933,4805
0,1933,4806
0,1933,4807
0,1933,4808
0,1933,4809
0,1933,4810
0,1933,4811
0,1933,4812
0,1933,4813
0,1933,4814
0,1933,4815
0,1933,4816
0,1933,4817
0,1933,4818
0,1933,4819
0,1933,4820
0,1933,4821
0,1933,4822
0,1933,4823
0,1933,4824
0,1933,4825
0,1933,4826
0,1933,4827
0,1933,4828
0,1933,4829
0,1933,4830
0,1933,4831
0,1933,4832
0,1933,4833
0,1933,4834
0,1933,4835
0,1933,4836
0,1933,4837
0,1933,4838
0,1933,4839
0,1933,4840
0,1933,4841
0,1933,4842
0,1933,4843
0,1933,4844
0,1933,4845
0,1933,4846
0,1933,4847
0,1933,4848
0,1933,4849
0,1933,4850
0,1933,4851
0,1933,4852
0,1933,4853
0,1933,4854
0,1933,4855
0,1933,4856
0,1933,4857
0,1933,4858
0,1933,4859
0,1933,4860
0,1933,4861
0,1933,4862
0,1933,4863
0,1934,4800
0,1934,4801
0,1934,4802
0,1934,4803
0,1934,4804
0,1934,4805
0,1934,4806
0,1934,4807
0,1934,4808
0,1934,4809
0,1934,4810
0,1934,4811
0,1934,4812
0,1934,4813
0,1934,4814
0,1934,4815
0,1934,4816
0,1934,4817
0,1934,4818
0,1934,4819
0,1934,4820
0,1934,4821
0,1934,4822
0,1934,4823
0,1934,4824
0,1934,4825
0,1934,4826
0,1934,4827
0,1934,4828
0,1934,4829
0,1934,4830
0,1934,4831
0,1934,4832
0,1934,4833
0,1934,4834
0,1934,4835
0,1934,4836
0,1934,4837
0,1934,4838
0,1934,4839
0,1934,4840
0,1934,4841
0,1934,4842
0,1934,4843
0,1934,4844
0,1934,4845
0,1934,4846
0,1934,4847
0,1934,4848
0,1934,4849
0,1934,4850
0,1934,4851
0,1934,4852
0,1934,4853
0,1934,4854
0,1934,4855
0,1934,4856
0,1934,4857
0,1934,4858
0,1934,4859
0,1934,4860
0,1934,4861
0,1934,4862
0,1934,4863
0,1935,4800
0,1935,4801
0,1935,4802
0,1935,4803
0,1935,4804
0,1935,4805
0,1935,4806
0,1935,4807
0,1935,4808
0,1935,4809
0,1935,4810
0,1935,4811
0,1935,4812
0,1935,4813
0,1935,4814
0,1935,4815
0,1935,4816
0,1935,4817
0,1935,4818
0,1935,4819
0,1935,4820
0,1935,4821
0,1935,4822
0,1935,4823
0,1935,4824
0,1935,4825
0,1935,4826
0,1935,4827
0,1935,4828
0,1935,4829
0,1935,4830
0,1935,4831
0,1935,4832
0,1935,4833
0,1935,4834
0,1935,4835
0,1935,4836
0,1935,4837
0,1935,4838
0,1935,4839
0,1935,4840
0,1935,4841
0,1935,4842
0,1935,4843
0,1935,4844
0,1935,4845
0,1935,4846
0,1935,4847
0,1935,4848
0,1935,4849
0,1935,4850
0,1935,4851
0,1935,4852
0,1935,4853
0,1935,4854
0,1935,4855
0,1935,4856
0,1935,4857
0,1935,4858
0,1935,4859
0,1935,4860
0,1935,4861
0,1935,4862
0,1935,4863
0,1936,4800
0,1936,4801
0,1936,4802
0,1936,4803
0,1936,4804
0,1936,4805
0,1936,4806
0,1936,4807
0,1936,4808
0,1936,4809
0,1936,4810
0,1936,4811
0,1936,4812
0,1936,4813
0,1936,4814
0,1936,4815
0,1936,4816
0,1936,4817
0,1936,4818
0,1936,4819
0,1936,4820
0,1936,4821
0,1936,4822
0,1936,4823
0,1936,4824
0,1936,4825
0,1936,4826
0,1936,4827
0,1936,4828
0,1936,4829
0,1936,4830
0,1936,4831
0,1936,4832
0,1936,4833
0,1936,4834
0,1936,4835
0,1936,4836
0,1936,4837
0,1936,4838
0,1936,4839
0,1936,4840
0,1936,4841
0,1936,4842
0,1936,4843
0,1936,4844
0,1936,4845
0,1936,4846
0,1936,4847
0,1936,4848
0,1936,4849
0,1936,4850
0,1936,4851
0,1936,4852
0,1936,4853
0,1936,4854
0,1936,4855
0,1936,4856
0,1936,4857
0,1936,4858
0,1936,4859
0,1936,4860
0,1936,4861
0,1936,4862
0,1936,4863
0,1937,4800
0,1937,4801
0,1937,4802
0,1937,4803
0,1937,4804
0,1937,4805
0,1937,4806
0,1937,4807
0,1937,4808
0,1937,4809
0,1937,4810
0,1937,4811
0,1937,4812
0,1937,4813
0,1937,4814
0,1937,4815
0,1937,4816
0,1937,4817
0,1937,4818
0,1937,4819
0,1937,4820
0,1937,4821
0,1937,4822
0,1937,4823
0,1937,4824
0,1937,4825
0,1937,4826
0,1937,4827
0,1937,4828
0,1937,4829
0,1937,4830
0,1937,4831
0,1937,4832
0,1937,4833
0,1937,4834
0,1937,4835
0,1937,4836
0,1937,4837
0,1937,4838
0,1937,4839
0,1937,4840
0,1937,4841
0,1937,4842
0,1937,4843
0,1937,4844
0,1937,4845
0,1937,4846
0,1937,4847
0,1937,4848
0,1937,4849
0,1937,4850
0,1937,4851
0,1937,4852
0,1937,4853
0,1937,4854
0,1937,4855
0,1937,4856
0,1937,4857
0,1937,4858
0,1937,4859
0,1937,4860
0,1937,4861
0,1937,4862
0,1937,4863
0,1938,4800
0,1938,4801
0,1938,4802
0,1938,4803
0,1938,4804
0,1938,4805
0,1938,4806
0,1938,4807
0,1938,4808
0,1938,4809
0,1938,4810
0,1938,4811
0,1938,4812
0,1938,4813
0,1938,4814
0,1938,4815
0,1938,4816
0,1938,4817
0,1938,4818
0,1938,4819
0,1938,4820
0,1938,4821
0,1938,4822
0,1938,4823
0,1938,4824
0,1938,4825
0,1938,4826
0,1938,4827
0,1938,4828
0,1938,4829
0,1938,4830
0,1938,4831
0,1938,4832
0,1938,4833
0,1938,4834
0,1938,4835
0,1938,4836
0,1938,4837
0,1938,4838
0,1938,4839
0,1938,4840
0,1938,4841
0,1938,4842
0,1938,4843
0,1938,4844
0,1938,4845
0,1938,4846
0,1938,4847
0,1938,4848
0,1938,4849
0,1938,4850
0,1938,4851
0,1938,4852
0,1938,4853
0,1938,4854
0,1938,4855
0,1938,4856
0,1938,4857
0,1938,4858
0,1938,4859
0,1938,4860
0,1938,4861
0,1938,4862
0,1938,4863
0,1939,4800
0,1939,4801
0,1939,4802
0,1939,4803
0,1939,4804
0,1939,4805
0,1939,4806
0,1939,4807
0,1939,4808
0,1939,4809
0,1939,4810
0,1939,4811
0,1939,4812
0,1939,4813
0,1939,4814
0,1939,4815
0,1939,4816
0,1939,4817
0,1939,4818
0,1939,4819
0,1939,4820
0,1939,4821
0,1939,4822
0,1939,4823
0,1939,4824
0,1939,4825
0,1939,4826
0,1939,4827
0,1939,4828
0,1939,4829
0,1939,4830
0,1939,4831
0,1939,4832
0,1939,4833
0,1939,4834
0,1939,4835
0,1939,4836
0,1939,4837
0,1939,4838
0,1939,4839
0,1939,4840
0,1939,4841
0,1939,4842
0,1939,4843
0,1939,4844
0,1939,4845
0,1939,4846
0,1939,4847
0,1939,4848
0,1939,4849
0,1939,4850
0,1939,4851
0,1939,4852
0,1939,4853
0,1939,4854
0,1939,4855
0,1939,4856
0,1939,4857
0,1939,4858
0,1939,4859
0,1939,4860
0,1939,4861
0,1939,4862
0,1939,4863
0,1940,4800
0,1940,4801
0,1940,4802
0,1940,4803
0,1940,4804
0,1940,4805
0,1940,4806
0,1940,4807
0,1940,4808
0,1940,4809
0,1940,4810
0,1940,4811
0,1940,4812
0,1940,4813
0,1940,4814
0,1940,4815
0,1940,4816
0,1940,4817
0,1940,4818
0,1940,4819
0,1940,4820
0,1940,4821
0,1940,4822
0,1940,4823
0,1940,4824
0,1940,4825
0,1940,4826
0,1940,4827
0,1940,4828
0,1940,4829
0,1940,4830
0,1940,4831
0,1940,4832
0,1940,4833
0,1940,4834
0,1940,4835
0,1940,4836
0,1940,4837
0,1940,4838
0,1940,4839
0,1940,4840
0,1940,4841
0,1940,4842
0,1940,4843
0,1940,4844
0,1940,4845
0,1940,4846
0,1940,4847
0,1940,4848
0,1940,4849
0,1940,4850
0,1940,4851
0,1940,4852
0,1940,4853
0,1940,4854
0,1940,4855
0,1940,4856
0,1940,4857
0,1940,4858
0,1940,4859
0,1940,4860
0,1940,4861
0,1940,4862
0,1940,4863
0,1941,4800
0,1941,4801
0,1941,4802
0,1941,4803
0,1941,4804
0,1941,4805
0,1941,4806
0,1941,4807
0,1941,4808
0,1941,4809
0,1941,4810
0,1941,4811
0,1941,4812
0,1941,4813
0,1941,4814
0,1941,4815
0,1941,4816
0,1941,4817
0,1941,4818
0,1941,4819
0,1941,4820
0,1941,4821
0,1941,4822
0,1941,4823
0,1941,4824
0,1941,4825
0,1941,4826
0,1941,4827
0,1941,4828
0,1941,4829
0,1941,4830
0,1941,4831
0,1941,4832
0,1941,4833
0,1941,4834
0,1941,4835
0,1941,4836
0,1941,4837
0,1941,4838
0,1941,4839
0,1941,4840
0,1941,4841
0,1941,4842
0,1941,4843
0,1941,4844
0,1941,4845
0,1941,4846
0,1941,4847
0,1941,4848
0,1941,4849
0,1941,4850
0,1941,4851
0,1941,4852
0,1941,4853
0,1941,4854
0,1941,4855
0,1941,4856
0,1941,4857
0,1941,4858
0,1941,4859
0,1941,4860
0,1941,4861
0,1941,4862
0,1941,4863
0,1942,4800
0,1942,4801
0,1942,4802
0,1942,4803
0,1942,4804
0,1942,4805
0,1942,4806
0,1942,4807
0,1942,4808
0,1942,4809
0,1942,4810
0,1942,4811
0,1942,4812
0,1942,4813
0,1942,4814
0,1942,4815
0,1942,4816
0,1942,4817
0,1942,4818
0,1942,4819
0,1942,4820
0,1942,4821
0,1942,4822
0,1942,4823
0,1942,4824
0,1942,4825
0,1942,4826
0,1942,4827
0,1942,4828
0,1942,4829
0,1942,4830
0,1942,4831
0,1942,4832
0,1942,4833
0,1942,4834
0,1942,4835
0,1942,4836
0,1942,4837
0,1942,4838
0,1942,4839
0,1942,4840
0,1942,4841
0,1942,4842
0,1942,4843
0,1942,4844
0,1942,4845
0,1942,4846
0,1942,4847
0,1942,4848
0,1942,4849
0,1942,4850
0,1942,4851
0,1942,4852
0,1942,4853
0,1942,4854
0,1942,4855
0,1942,4856
0,1942,4857
0,1942,4858
0,1942,4859
0,1942,4860
0,1942,4861
0,1942,4862
0,1942,4863
0,1943,4800
0,1943,4801
0,1943,4802
0,1943,4803
0,1943,4804
0,1943,4805
0,1943,4806
0,1943,4807
0,1943,4808
0,1943,4809
0,1943,4810
0,1943,4811
0,1943,4812
0,1943,4813
0,1943,4814
0,1943,4815
0,1943,4816
0,1943,4817
0,1943,4818
0,1943,4819
0,1943,4820
0,1943,4821
